term,phrase,tag1,tag2,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4
様子,…車 が 近づいて くる 様子 を 見ました。,名詞,,en,"aspect, state, appearance",,,,,,
近づいて,…画面 に 車 が 近づいて くる 様子 を 見ました。,動詞,近づく,en,"近づく v. (Hira=ちかづく) approach, come near to",,,,,,
画面,彼女 は 携帯 の 画面 に 車 が 近づいて…,名詞,,en,screen; display; picture;,,,,,,
立ち去ろう,…と いう 人々 が 立ち去ろう と して います。,動詞,立ち去る,en,to leave; to depart,,,,,,
人々,…何 百 と いう 人々 が 立ち去ろう と して…,名詞,,en,"ひとびと people, human beings, persons",,,,,,
願って,…が 安全である こと を 願って います。,動詞,願う,en,"desire, wish; request, petition for; beg, implore; hope",,,,,,
安全である,…ありません が、 それ が 安全である こと を 願って います。,形容詞,安全だ,en,be safe,,,,,,
使った,…ウーバー を 今 まで 使った こと が ありません が、…,動詞,使う,en,"v.  (Hira=つかう) use, handle, manipulate; employ; expend, spend; consume",,,,,,
まで,…は ウーバー を 今 まで 使った こと が ありません…,助詞,,en,"to, toward; for; until, up to",,,,,,
依頼,…ウーバー の ドライバー を 依頼 しました。,名詞,,en,"asking, request",,,,,,
百,…終了 し、 一度に 何 百 と いう 人々 が…,名詞,,en,"n.  (Hira=ひゃく) hundred, number 100",,,,,,
一度に,…バス は 終了 し、 一度に 何 百 と いう…,副詞,,en,"at one time, once; at the same time",,,,,,
終了,今、 バス は 終了 し、 一度に 何 百…,名詞,,en,"close, end",,,,,,
彼女,彼女 は 女の子 です。,名詞,,en,かのじょ　　(1) she; (2) girl friend; girlfriend; sweetheart;,,,,,,
終わりました,…思った 以上 に 遅く 終わりました。,,,en,"n.  (Hira=おわり) termination, close, end, completion, conclusion   終わる v. (Hira=おわる) finish, end, be terminated, bring to an end",,,,,,
遅く,…が 思った 以上 に 遅く 終わりました。,副詞,,en,"late, slowly",,,,,,
以上,…が、 彼女 が 思った 以上 に 遅く 終わりました。,副詞,,en,"more, additional amount",,,,,,
思った,…行きました が、 彼女 が 思った 以上 に 遅く 終わりました。,思う,動詞,en,"think, feel",,,,,,
行きました,…の 音楽 フェスティバル に 行きました が、 彼女 が 思った…,,,en,went,,,,,,
フェスティバル,…そこ で の 音楽 フェスティバル に 行きました が、 彼女…,名詞,,en,Festival,,,,,,
音楽,…は そこ で の 音楽 フェスティバル に 行きました が、…,名詞,,en,music,,,,,,
立ち往生,これ は 公園 で 立ち往生 して いる マライア の…,名詞,,en,being stranded; getting stuck,,,,,,
公園,これ は 公園 で 立ち往生 して いる…,名詞,,en,"n.  (Hira=こうえん) park, public garden",,,,,,
買い,…で その コンピューター を 買い ます。,動詞,買う,en,Buy,,,,,,
クレジット,彼女 は クレジット カード で その コンピューター…,名詞,,en,Credit,,,,,,
好き です,…キーボード そして スタイル が 好き です。,,,en,I like it,,,,,,
好き,…キーボード そして スタイル が 好き です。,形容詞,好きだ,en,"n.  (Hira=すき) like, fond",,,,,,
スタイル,…その スクリーン、 キーボード そして スタイル が 好き です。,名詞,,en,"n. style, manner, way; particular way of life",,,,,,
良い,そして 彼女 は 良い キーボード が ほしい です。,形容詞,,en,"よい 1. good; excellent; fine; nice; pleasant; agreeable​ See also いい, also いい (all senses)",,,,,,
キーボード,そして 彼女 は 良い キーボード が ほしい です。,名詞,,en,Keyboard,,,,,,
スクリーン,彼女 は 大きな スクリーン の コンピューター が ほしい…,名詞,,en,Screen,,,,,,
大きな,彼女 は 大きな スクリーン の コンピューター が…,連体詞,,en,"adj.  (Hira=おおきな) large, big, enormous",,,,,,
電気店,彼女 は 電気店 に いきます。,,,en,Electronics store,,,,,,
遅い,…の コンピューター は 古くて 遅い です。,形容詞,,en,slow; late,,,,,,
必要,…は 新しい コンピューター が 必要 です。,形容詞,必要だ,en,necessary,,,,,,
使い,…は コンピューター を たくさん 使い ます。,動詞,使う,en,"n.  (Hira=つかい)treatment, management; use, usage",,,,,,
コンピューター,A) ジャネット は コンピューター を たくさん 使い ます。,名詞,,en,computer,,,,,,
次の,はい、 次の アパート は ベッド、 テレビ…,連体詞,,en,"adj. (Hira=つぎの,じの) second, next after the first; subsequent, following, ensuing",,,,,,
付いて,…テレビ そして ストーブ が 付いて います。,動詞,付く,en,to be attached,,,,,,
高く,…最初 の アパート は 高く ありません。,形容詞,高い,en,"tall, high, expensive",,,,,,
最初,最初 の アパート は 安い…,名詞,,en,beginning,,,,,,
来年,それ で 彼 は 来年 移る こと が できる…,名詞,,en,Next year,,,,,,
決心,…貯 め よう と 決心 します。,名詞,,en,determination; resolution​,,,,,,
金 を 貯,ブラッド は もっと お 金 を 貯 め よう と 決心…,,,en,Save money,,,,,,
よう,…金 を 貯 め よう と 決心 します。,助動詞,ようだ,en,positive auxiliary word used to express the standard form in the future tense,,,,,,
テレビ,それ は ベッド、 テレビ、 そして ストーブ です。,名詞,,en,television,,,,,,
ついて,…アパート は 家具 が ついて います。,つく,動詞,en,about,,,,,,
家具,他 の アパート は 家具 が ついて います。,名詞,,en,furniture,,,,,,
他,他 の アパート は 家具…,接頭辞,,en,ほか; other,,,,,,
空っぽ,しかし それ は 古くて 空っぽ です。,形容詞,空っぽだ,en,n. (Hira=からっぽ)1. empty; vacant; hollow​,,,,,,
古くて,しかし それ は 古くて 空っぽ です。,形容詞,古い,en,old (and),,,,,,
見ます,…アパート の 写真 を 見ます。,,,en,to see; to watch,,,,,,
写真,…インターネット で アパート の 写真 を 見ます。,名詞,,en,Photo,,,,,,
インターネット,彼 は インターネット で アパート の 写真…,名詞,,en,internet,,,,,,
移りたい,…は 新しい アパート に 移りたい です。,,,en,I want to move,,,,,,
すぎます,…の アパート は 小さ すぎます。,,,en,"1. past; after​

2. too (much); over- (e.g. eating)​",,,,,,
アパート,A) ブラッド の アパート は 小さ すぎます。,名詞,,en,apartment,,,,,,
買う,私 は 食べ物 を 買う ため に お 店…,動詞,,en,"v. (Hira=かう) buy, purchase; get; appreciate; volunteer",,,,,,
働いて,…を 養う ため に 働いて い ます。,動詞,働く,en,はたらく　hataraku - to work,,,,,,
養う,彼 は、 家族 を 養う ため に 働いて い…,動詞,,en,"やしなう to maintain; support; rear (family, parents);",,,,,,
家族,彼 は、 家族 を 養う ため に…,名詞,,en,"(Hira=かぞく) family, household, people of a house",,,,,,
なり,…語 を 話せる ように なり たい から です。,なる,動詞,en,since...become,,,,,,
話せる,…は ルーマニア 語 を 話せる ように なり たい から…,動詞,,en,"v.  (Hira=はなせる) be understanding, be sensible、be able to speak",,,,,,
なぜなら,なぜなら、 私 は ルーマニア 語…,接続詞,,en,"because, the reason is, if you want to know why",,,,,,
なぜ,あなた は なぜ そんなに 一生懸命 勉強 する…,副詞,,en,"adv. (Alt=なにゆえ, Kanji=何故) why, for what reason?; for what purpose?; how, in what way?, in what manner?, by what means?; to what extent?",,,,,,
今,私 は 今、 何 を す べきです…,名詞,,en,"adv.  (Hira=いま) just now, now, at the present time; immediately, shortly",,,,,,
働く,彼 は そんなに 働く べきで は あり ませ…,動詞,,en,work,,,,,,
そんなに,彼 は そんなに 働く べきで は あり…,指示詞,,en,"sonnani: so, in this way, to such an extent",,,,,,
べきで,…は 通り で 遊ぶ べきで は あり ませ ん。,助動詞,べきだ,en,"(べき) v. must, have to, be obligated; be likely or probable",,,,,,
遊ぶ,…たち は 通り で 遊ぶ べきで は あり ませ…,動詞,,en,to play,,,,,,
べきです,…は 気 を つける べきです。,助動詞,べきだ,en,"should, must",,,,,,
つける,…たち は 気 を つける べきです。,動詞,,en,"v.  (Kanji=就ける) put, place, attach, annex",,,,,,
気,私 たち は 気 を つける べきです。,名詞,,en,"n.  (Hira=き) spirit, mood, state of mind",,,,,,
たち,私 たち は 気 を つける…,動詞,たつ,en,word marking plural of the previous word,,,,,,
私 たち,…だけ い ます が、 私 たち は 女の子 だけ 子供…,,,en,"we, us",,,,,,
野菜,私 は 野菜 を 食べる の が…,名詞,,en,vegetable,,,,,,
果物,私 は 果物 を 食べる の が…,名詞,,en,fruit,,,,,,
ランチ,…たい です か? はい、 ランチ を 食べ たい です。,名詞,,en,Lunch,,,,,,
後,…映画 は あと 15 分 後 に 始まり ます。,副詞,,en,"Hira=あと) later; aback, backwards",,,,,,
映画,その 映画 は いつ あり ます…,名詞,,en,movie,,,,,,
いつ,いつ 行き ました か?,名詞,,en,when,,,,,,
上,…通り は 丘 の 上 に あり ます。,名詞,,en,above; up; over; top,,,,,,
丘,…か? その 通り は 丘 の 上 に あり…,名詞,,en,hill; height,,,,,,
あり,…は その 通り に あり ます。,ある,動詞,en,"1. (v5r-i, vi) to be (usu. of inanimate objects); to exist; to live 
  2.  to have
  3.  to be located
  4.  to be equipped with
  5 . to happen; to come about",,,,,,
通り,その 家 は その 通り に あり ます。,動詞,通る,en,Street,en,"Way, method of doing something (identifier)",,,,
あそこ,…その お 店 は あそこ です。,指示詞,,en,"that place, over there, in that place",,,,,,
女性,彼女 は 女性 です。,名詞,,en,"じょせい woman, lady",,,,,,
男の子,あの カップル は 男の子 だけ い ます が、…,名詞,,en,(Hira=おとこのこ) boy,,,,,,
男,私 は 男 です。,名詞,,en,man,,,,,,
主人,ご 主人、 お 元気です か? 奥様、…,名詞,,en,"husband (head of the house), person in command",,,,,,
ご,ご 主人、 お 元気です か?,接頭辞,,en,honorific/polite/humble prefix,,,,,,
元気です か,お 元気です か? 元気です よ。,,,en,how are you?,,,,,,
はじめ まして,はじめ まして。,,,en,Nice to meet you,,,,,,
はじめ,はじめ まして。,動詞,はじめる,en,"hajime - beginning, start",,,,,,
名前,あなた の お 名前 は な んです か?…,名詞,,en,name (new),,,,,,
んです,…お 名前 は な んです か? 私 は スティーブン…,助動詞,んだ,en,"n desu: am, is, are (emphatic)",,,,,,
あなた,あなた の お 名前 は…,名詞,,en,you,,,,,,
はい,はい、 この マンション に 住んで…,感動詞,,en,Yes,,,,,,
分かりました,…した の か ようやく 分かりました。,,,en,I understand,,,,,,
ようやく,…びっくり した の か ようやく 分かりました。,副詞,,en,"finally, at last",,,,,,
どうして,…を 聞いて、 ジェーン は どうして 先生 の 奥さん が…,指示詞,,en,如何して why?; for what reason; how; in what way; for what purpose; what for,,,,,,
わ,…した んだ と 思う わ。,動詞,わす,en,(fem) (also used by men in Kansai dialect) (sentence end) indicates emotion or admiration,,,,,,
思う,…びっくり した んだ と 思う わ。,動詞,,en,"(Alt=想う, Hira=おもう) think, feel, deem, suppose, seem",,,,,,
ませ,…が、「 コーラ を 頂け ませ ん か？,動詞,ます,en,polite noise,,,,,,
頂け,…ジェーン が、「 コーラ を 頂け ませ ん か？,動詞,頂ける,en,いただく to receive,,,,,,
それなのに,それなのに、 ジェーン が、「 コーラ を…,接続詞,,en,"Conj. Yet, but, despite this",,,,,,
しか,…です」 の どちら か しか ない の よ。,助詞,,en,"nothing but, nothing else except for, only",,,,,,
どちら,…いいえ、 結構 です」 の どちら か しか ない の…,指示詞,,en,which,,,,,,
結構 です,…頂き ます」 か「 いいえ、 結構 です」 の どちら か しか…,,,en,No thank you,,,,,,
結構,…頂き ます」 か「 いいえ、 結構 です」 の どちら か…,副詞,,en,"Fine, I'd like difficult",,,,,,
頂き,…答え は、「 はい、 じゃあ 頂き ます」 か「 いいえ、 結構…,動詞,頂く,en,"頂く v. (Hira=いただく) receive, accept; be crowned with; live under; install; buy; take",,,,,,
答え,奥さん も ジェーン の 答え を 聞いて びっくり した…,動詞,答える,en,"(Hira=こたえる) answer, reply, respond",,,,,,
だから,だから、 答え は、「 はい、 じゃあ…,接続詞,,en,"adv.  so, therefore; for this reason; accordingly, consequently",,,,,,
意味,…と 同じ 意味 な の よ。,名詞,,en,"meaning, significance, sense",,,,,,
同じ,…と 同じ 意味 な の よ。,形容詞,同じだ,en,"(Hira=おなじ) same, identical; similar; common; uniform; changeless",,,,,,
みたいです,…は「 コーヒー が 飲 みたいです か？,助動詞,みたいだ,en,it seems that​,,,,,,
飲,…文 は「 コーヒー が 飲 みたいです か？,名詞,,en,drink,,,,,,
文,…けれど、 本当 は その 文 は「 コーヒー が 飲…,名詞,,en,"letter, writings; sentence; written language",,,,,,
本当,…選べる ように 聞こえる けれど、 本当 は その 文 は「…,形容詞,本当だ,en,"n.  (Hira=ほんとう) truth, reality, verity",,,,,,
聞こえる,…物 を 選べる ように 聞こえる けれど、 本当 は その…,動詞,,en,(Hira=きこえる) to hear,,,,,,
いかがです,…コーヒー で も いかがです か？,形容詞,いかがだ,en,如何 いかが	how; in what way; how about,,,,,,
考えた,…こと を 文字通り に 考えた の ね。,考える,動詞,en,thought,,,,,,
文字通り,…が おっしゃった こと を 文字通り に 考えた の ね。,副詞,,en,literally,,,,,,
おっしゃった,…先生 の 奥さん が おっしゃった こと を 文字通り に…,動詞,おっしゃる,en,said; spoke; told,,,,,,
奥さん,…行った 時、 先生 の 奥さん に、「 パーカー さん、 コーヒー…,名詞,,en,"(n)（おくさん）madam, respectful title used for addressing a woman; wife",,,,,,
説明,…は 次 の ように 説明 して くれました。,名詞,,en,"explanation, exposition, interpretation",,,,,,
ように,…さん は 次 の ように 説明 して くれました。,助動詞,ようだ,en,the way; as if; like,,,,,,
次,…聞いて、 よし子 さん は 次 の ように 説明 して…,名詞,,en,(つぎ)Next,,,,,,
聞きました,…を よし子 さん に 聞きました。,,,en,heard/asked,,,,,,
よし子,…から その こと を よし子 さん に 聞きました。,名詞,,en,Yoshiko,,,,,,
帰って,…と 考えて、 家 に 帰って から その こと を…,動詞,帰る,en,かえって Return (home).,,,,,,
考えて,…の か なあ」 と 考えて、 家 に 帰って から…,考える,動詞,en,"v. かんがえて - think, consider, imagine",,,,,,
なあ,…変 だった の か なあ」 と 考えて、 家 に…,感動詞,,zh-cn,"interj. I wish, would that, if",,,,,,
だった,…言った こと が 変 だった の か なあ」 と…,だ,判定詞,en,"Desu/da past tense, informal",,,,,,
変,…の 言った こと が 変 だった の か なあ」…,形容詞,変だ,en,"n.  (Hira=へん, Kata=ヘン) change, incident, disturbance",,,,,,
言った,ジェーン は、「 私 の 言った こと が 変 だった…,言う,動詞,en,"v.  (Alt=謂う,云う, Hira=いう) tell; say, remark",,,,,,
下さい,…コーラ を 持って 来て 下さい ました。,動詞,下さる,en,please　(Hira=ください),,,,,,
来て,…が、 コーラ を 持って 来て 下さい ました。,動詞,来る,en,"[kite] (Hira=くる) come, arrive;",,,,,,
ようでした,…を 聞いて びっくり した ようでした が、 コーラ を 持って…,助動詞,ようだ,en,Seemed,,,,,,
した,…答え を 聞いて びっくり した ようでした が、 コーラ を…,動詞,する,en,ending that forms the informal past tense of certain verbs; informal past tense form of する,,,,,,
聞いて,…ジェーン の 答え を 聞いて びっくり した ようでした が、…,聞く,動詞,en,"(Alt=聴く, Hira=きく) hear, listen; ask, question, query",,,,,,
言い,…と 丁寧 に 言い ました。,言う,動詞,en,Says,,,,,,
丁寧,…と 丁寧 に 言い ました。,形容詞,丁寧だ,en,Polite,,,,,,
頂けません か,コーラ を 頂けません か？,,,en,Could you please,,,,,,
飲んだ,…コーヒー を 二 杯 飲んだ んです。,動詞,飲む,en,drink,,,,,,
頂けません,コーラ を 頂けません か？,,,en,いただきます negative form,,,,,,
たかった,…冷たい 物 が 飲み たかった ので、「 あの う、 実は…,動詞,たかる,en,I wanted,,,,,,
飲み,…か 冷たい 物 が 飲み たかった ので、「 あの う、…,動詞,飲む,en,Drink,,,,,,
問題,環境 汚染 の 問題 に ついて、 真剣に 考えよう…,名詞,,en,(Hira=もんだい) problem,,,,,,
正しく,正しく 発音 できて いる の…,副詞,,en,"ただしく　right, correct",,,,,,
よく,…も この 気持ち、 とても よく わかります,副詞,,en,"often, frequently",,,,,,
僕 も この 気持ち,僕 も この 気持ち、 とても よく わかります,,,en,I feel this way too,,,,,,
この,僕 も この 気持ち、 とても よく わかります,指示詞,,en,this,,,,,,
気持ち,僕 も この 気持ち、 とても よく わかります,名詞,,en,"(Hira=きもち) temper, temperament, disposition; mood",en,きもち= feeling; sensation; mood,,,,
難しかった,難しかった です,形容詞,難しい,en,was difficult,,,,,,
とても,航空 券 代 が とても かかります。,副詞,,en,"totemo - very, extremely",en,"迚も (adv,uk) very; awfully; exceedingly; (before a negative form) (not) at all;",,,,
発音,…は、 日本 語 の 発音 が とても,名詞,,en,"(Hira=はつおん) pronunciation, enunciation, articulation",,,,,,
とって,私 に とって は、 日本 語 の…,動詞,とる,en,totte: te form of torimasu: take,,,,,,
頂きました,…に、 こんな コメント を 頂きました。,,,en,いただきます,en,We received,,,,
コメント,…の 動画 に、 こんな コメント を 頂きました。,名詞,,en,comment,,,,,,
動画,以前 の 動画 に、 こんな コメント を…,名詞,,en,video; animation,,,,,,
以前,以前 の 動画 に、 こんな…,名詞,,en,"ago, since, before, previous",,,,,,
講座,アクセント・ イントネーション の 講座 です,名詞,,en,"こうざ) lectureship, position of professor in an academic institution; chair, position of authority; course",,,,,,
イントネーション,アクセント・ イントネーション の 講座 です,名詞,,en,"n. intonation, act of intoning or chanting; rise and fall of the voice in speech; production of musical tones",,,,,,
くれ,…で は あまり 教えて くれ ない,動詞,くれる,en,to give; to let one have;,,,,,,
学校,それ は 学校 で は あまり 教えて…,名詞,,en,"がっこう　school, any institution of learning",en,school,,,,
教えて,う うん、 お母さん に 教えて もらった レシピ で 作って…,動詞,教える,en,"(Hira=おしえる) teach, inform, instruct, educate",,,,,,
思います,…を 始めて いこう と 思います,,,en,"おもい - thought, feelong, emotion, wish, hope, desire",,,,,,
いこう,…変わった こと を 始めて いこう と 思います,いく,動詞,en,"adv.  (Kanji=以降)hereafter, after this time; thereafter,",,,,,,
始めて,…新しく 変わった こと を 始めて いこう と 思います,副詞,,en,Start with,,,,,,
変わった,今日 から、 また 新しく 変わった こと を 始めて いこう…,動詞,変わる,en,"変わる　かわる To change, to transform, to be altered.",,,,,,
新しく,今日 から、 また 新しく 変わった こと を 始めて…,形容詞,新しい,en,newly,,,,,,
とう きょう,とう きょう に いながら 入れる おんせん…,,,en,Tokyo,,,,,,
よる,ま、 ニュース に よる と、 ベルファスト の シティ…,動詞,,en,"evening, night",,,,,,
空港,…に は 二 つ 空港 が あります。,名詞,,en,airport,,,,,,
ベルファスト,ベルファスト に は 二 つ…,名詞,,en,Belfast,,,,,,
belfast,…私 の 住んで いる Belfast でも、 トップ ニュース と…,名詞,,en,Belfast,,,,,,
リンク,…BBC ニュース へ の リンク を つけて おきます。,名詞,,en,"リンクする v. link, join; connect; be joined, be connected",,,,,,
キャンセル,…が、 昨日 突然 全て キャンセル です ね。,名詞,,en,Cancel,,,,,,
全て,…いました が、 昨日 突然 全て キャンセル です ね。,副詞,,en,"all, whole, total",,,,,,
突然,…飛んで いました が、 昨日 突然 全て キャンセル です ね。,副詞,,en,adj. (Hira=とつぜん) sudden,,,,,,
昨日,昨日 行き ました。,名詞,,en,yesterday,,,,,,
飛行機,…間 も、 沢山 の 飛行機 が 飛んで いました が、…,名詞,,en,airplane,,,,,,
沢山,…ヨーロッパ の 間 も、 沢山 の 飛行機 が 飛んで…,副詞,,en,Lot,,,,,,
あと,あと ヨーロッパ、 イギリス と ヨーロッパ…,副詞,,en,後 later; after; reminder; the rest of;,,,,,,
ありました,…線、 たくさんの フライト が ありました。,,,en,"to have, is there inanimte (past)",,,,,,
フライト,…国 内 線、 たくさんの フライト が ありました。,名詞,,en,Flight,,,,,,
線,…イギリス の 国 内 線、 たくさんの フライト が ありました。,名詞,,en,line,,,,,,
あって,…イングランド に 本社 が あって、 イギリス の 国 内…,ある,動詞,en,"be, exist",,,,,,
本社,…会社 は、 イングランド に 本社 が あって、 イギリス の…,名詞,,en,"headquarters, main office",,,,,,
イングランド,…と いう 会社 は、 イングランド に 本社 が あって、…,名詞,,en,England,,,,,,
なくなる,…その 会社 が 終わる、 なくなる と いう こと です。,動詞,,en,not be (anymore); to be missing; to disappear,,,,,,
終わる,…で、 その 会社 が 終わる、 なくなる と いう こと…,動詞,,en,"(Hira=おわる) finish, end, be terminated, bring to an end",,,,,,
できません,…を 続ける こと が できません、 と いう こと で、…,,,en,dekimasen: cannot,,,,,,
続ける,…これ 以上 会社 を 続ける こと が できません、 と…,動詞,,en,"(Hira=つづける) continue, go on, keep up, keep on, keep doing something",,,,,,
するって,…会社 が 潰れる、 倒産 するって いう の は、 もう…,,,en,Do,,,,,,
潰れる,潰れる、 会社 が 潰れる、 倒産…,動詞,,en,つぶれる	1: (Usually written using kana alone) to be smashed; 2: to become useless; to cease functioning; 3: to go bankrupt,,,,,,
倒産,…と いう 会社 が 倒産 した、 潰れた と いう…,名詞,,en,"(Hira=とうさん) bankruptcy, state of losing property to one's creditors due to unpaid debts, insolvency",,,,,,
エアライン,…イギリス の 航空 会社、 エアライン の Flybe と いう…,名詞,,en,Airline,,,,,,
イギリス,それ は、 イギリス の 航空 会社、 エアライン…,名詞,,en,united kingdom,,,,,,
物,…飲んで、 何 か 冷たい 物 が 飲み たかった ので、「…,名詞,,en,もの thing; object,,,,,,
冷たい,…杯 飲んで、 何 か 冷たい 物 が 飲み たかった…,形容詞,,en,"(adj-i)(つめたい) cold, chilly; icy",,,,,,
か,…二 杯 飲んで、 何 か 冷たい 物 が 飲み…,助詞,,zh-tw,"marks a question. (but only at the end, right?)",,,,,,
飲んで,…コーヒー を 二 杯 飲んで、 何 か 冷たい 物…,動詞,飲む,en,"v.  (Hira=のむ) drink, quaff, drink with large gulps, drink quickly",,,,,,
杯,…朝 コーヒー を 二 杯 飲んで、 何 か 冷たい…,名詞,,en,"はい・ばい・っぱい　counter for alcohol, cups, ships, octopuses and squid",,,,,,
びっくり,ジェーン は 少し びっくり しました。,名詞,,en,"surprised, amazed",,,,,,
少し,ジェーン は 少し びっくり しました。,副詞,,en,"(Hira=すこし) little, slightly",,,,,,
聞かれました,…と 聞かれました。,,,en,Was asked,,,,,,
いかが,…パーカー さん、 コーヒー でも いかが です か？,副詞,,en,"how, in what way?",,,,,,
パーカー,…先生 の 奥さん に、「 パーカー さん、 コーヒー でも いかが…,名詞,,en,Parker,,,,,,
時,…の お宅 へ 行った 時、 先生 の 奥さん に、「…,名詞,,en,"ji; toki. n.  (Hira=とき,じ) time, period, hour, occasion,",,,,,,
行った,…先生 の お宅 へ 行った 時、 先生 の 奥さん…,動詞,行う,en,"v.  (Hira=いく,ゆく) go, proceed, move; travel; leave; extend from one point to another; pass, elapse",,,,,,
お宅,ところが、 先生 の お宅 へ 行った 時、 先生…,名詞,,en,Your house,,,,,,
ところが,ところが、 先生 の お宅 へ…,接続詞,,en,"(conj) but, yet, however",,,,,,
出す,…お茶 や ケーキ を 出す こと が ある、 と…,動詞,,en,"v.  (Hira=だす) send; hold out; extend, reach out; expose, issue, publish; display, present; produce; pay, contribute, invest; serve; exert",,,,,,
言わないで,…の 人 は 何も 言わないで お茶 や ケーキ を…,,,en,Do not say,,,,,,
何も,…家 の 人 は 何も 言わないで お茶 や ケーキ…,副詞,,en,(Hira=なにも) nothing,,,,,,
行く,…彼 は どこ に 行く か わかりません。,動詞,,en,"v. (Hira=いく,ゆく) go, proceed, move;",,,,,,
遊び,…日本人 の 家 に 遊び に 行く と、 家…,動詞,遊ぶ,en,"(Hira=あそび) game, fun activity",,,,,,
タイミング,…が い なく なった タイミング で―,名詞,,en,Timing,,,,,,
なった,…集団 が い なく なった タイミング で―,なる,動詞,en,natta: became,,,,,,
なく,あの 集団 が い なく なった タイミング で―,ない,形容詞,en,"adj.  (Kanji=無い) absent, not present; preoccupied, cry",,,,,,
集団,あの 集団 が い なく なった…,名詞,,en,"group, mass, crowd",,,,,,
突入,突入 する,名詞,,en,Plunge,,,,,,
前方,前方 に エレベーターホール,名詞,,en,forward,,,,,,
気付か,…注意 を 引きつければ 多分 気付か れ ない,動詞,気付く,en,Notice,,,,,,
多分,…に 注意 を 引きつければ 多分 気付か れ ない,副詞,,en,"adv.  (Hira=たぶん) perhaps, maybe; possibly; could be; almost certainly, most likely, in all probability",,,,,,
引きつければ,上半身 に 注意 を 引きつければ 多分 気付か れ ない,動詞,引きつける,en,If you attract,,,,,,
注意,上半身 に 注意 を 引きつければ 多分 気付か…,名詞,,en,"caution; advice; attention, being careful; heed",,,,,,
上半身,上半身 に 注意 を 引きつければ…,名詞,,en,"n. (Hira=じょうはんしん) upper half of body, upper part of the body, topmost part of the body, shoulders and head",,,,,,
踊って,…不思議な 踊 り を 踊って―,動詞,踊る,en,dancing,,,,,,
踊,…か と 会ったら 不思議な 踊 り を 踊って―,名詞,,en,dance,,,,,,
不思議な,…誰 か と 会ったら 不思議な 踊 り を 踊って―,形容詞,不思議だ,en,mysterious,,,,,,
会ったら,…で 誰 か と 会ったら 不思議な 踊 り を…,動詞,会う,en,When I saw (met) someone,,,,,,
途中,もし 途中 で 誰 か と…,名詞,,en,"adv.  (Hira=とちゅう) on the way, soon to arrive; en route, along the way, during the journey",,,,,,
誰,もし 途中 で 誰 か と 会ったら 不思議な…,名詞,,en,"pron.  (Hira=だれ) who, some person, unspecified person, somebody",,,,,,
し,…すぐ 制服 に 着替える し,動詞,する,en,"(prt,conj) (at the end of a phrase) notes one (of several) reasons;",,,,,,
着替える,…どうせ すぐ 制服 に 着替える し,,,en,きがえる/きかえる) change one's clothes,,,,,,
制服,…烈子） 大丈夫 どうせ すぐ 制服 に 着替える し,名詞,,en,uniform,,,,,,
すぐ,…烈子） 大丈夫 どうせ すぐ 制服 に 着替える し,副詞,,en,"adv.  (Kanji=直ぐ) immediately, soon, easily; right",,,,,,
どうせ,…烈子） 大丈夫 どうせ すぐ 制服 に 着替える…,副詞,,en,"anyhow, in any case",,,,,,
大丈夫,…烈子） 大丈夫 どうせ すぐ 制服 に…,形容詞,大丈夫だ,en,"nterj. (Hira=だいじょうぶ) all right, O.K., fine, good",,,,,,
来ちゃ,サ… サンダル で 来ちゃ った,動詞,来る,en,（くる） 1: to come (spatially or temporally); to approach; to arrive; 2: to come back; to do ... and come back; 3: to come to be; to become; to get; to grow; to continue; () 4: to come from; to be caused by; to derive from; 5: to come to,,,,,,
サンダル,サ… サンダル で 来ちゃ った,名詞,,en,Sandals,,,,,,
サ,サ… サンダル で 来ちゃ った,名詞,,en,Support,,,,,,
鼻息,…豚 の 鼻息）,名詞,,es,Nasal breathing,,,,,,
豚,豚 の 鼻息）,名詞,,en,Pig,,,,,,
歯ぎしり,歯ぎしり）,名詞,,en,"n. (Hira=はぎしり) gnashing, grinding of the teeth, involuntary nocturnal tooth grinding",,,,,,
携帯,財布 持った 定期 持った 携帯 持った 忘れ物 なし！,名詞,,en,けいたい  1. something carried (in the hand); handheld; portable​  2. mobile telephone; cell phone,,,,,,
定期,財布 持った 定期 持った 携帯 持った 忘れ物…,名詞,,en,"fixed term, fixed period",,,,,,
持った,財布 持った 定期 持った 携帯 持った…,持つ,動詞,en,"持つ v. (Hira=もつ) hold, possess, carry",,,,,,
財布,財布 持った 定期 持った 携帯…,名詞,,en,"purse, wallet, billfold",,,,,,
的な,模範 的な 社会 人,的だ,接尾辞,en,"typical, characteristic",,,,,,
起きる,…数えたら 起きる,動詞,,en,"wake up, get up",,,,,,
行き,会社 行き たく ない,動詞,行く,en,go(Hira=いく),,,,,,
未来,…に 輝く 希望 あふれる 未来,名詞,,en,future,,,,,,
あふれる,…先 に 輝く 希望 あふれる 未来,動詞,,en,"v. (溢れる) flood, inundate, overflow, brim over (Alt=こぼれる)",,,,,,
希望,…進む 先 に 輝く 希望 あふれる 未来,名詞,,en,"hope, wish, aspiration",,,,,,
輝く,…の 進む 先 に 輝く 希望 あふれる 未来,動詞,,en,"shine, glitter",,,,,,
先,私 の 進む 先 に 輝く 希望 あふれる…,名詞,,en,さき a while ago; previous; former; preceding; ahead; hereafter; future;,,,,,,
